baseline,expected\predicted,BOTH_DIRECT_AND_PROXY_WORK,BROWSER_QUIC_STALL,DEAD_PROXY_CONFIG,DIRECT_OK,HAPPY_EYEBALLS_STALL,INSUFFICIENT_DATA,IPV6_BROKEN_IPV4_OK,LOCAL_PROXY_ACTIVE,POSSIBLE_MITM_RISK,PROXY_SERVER_CHANGED_TO_REMOTE,REVERTER_SUSPECTED,UNKNOWN_LOCAL_PROXY,WININET_WINHTTP_MISMATCH
B3,BOTH_DIRECT_AND_PROXY_WORK,1,0,0,0,0,0,0,0,0,0,0,0,0
B3,BROWSER_QUIC_STALL,0,1,0,0,0,0,0,0,0,0,0,0,0
B3,DEAD_PROXY_CONFIG,0,0,4,0,0,1,0,1,0,0,0,0,0
B3,DIRECT_OK,0,0,0,0,0,2,0,0,0,0,0,0,0
B3,HAPPY_EYEBALLS_STALL,0,0,0,0,1,0,0,0,0,0,0,0,0
B3,INSUFFICIENT_DATA,0,0,0,0,0,1,0,0,0,0,0,0,0
B3,IPV6_BROKEN_IPV4_OK,0,0,0,0,0,0,2,0,0,0,0,0,0
B3,LOCAL_PROXY_ACTIVE,0,0,0,0,0,0,0,0,0,0,0,0,0
B3,POSSIBLE_MITM_RISK,0,0,0,0,0,1,0,0,0,0,0,0,0
B3,PROXY_SERVER_CHANGED_TO_REMOTE,0,0,0,0,0,1,0,0,0,0,0,0,0
B3,REVERTER_SUSPECTED,0,0,0,0,0,0,0,0,0,0,2,0,0
B3,UNKNOWN_LOCAL_PROXY,0,0,0,0,0,2,0,0,0,0,0,0,0
B3,WININET_WINHTTP_MISMATCH,0,0,0,0,0,0,0,0,0,0,0,0,2
