case_id,expected_class,predicted_class,failure_category,proof_tier,ambiguity_allowed,run_id,git_sha
RB-v1-012,DIRECT_OK,INSUFFICIENT_DATA,insufficient_evidence,T0_OBSERVATION_ONLY,True,20260902T104552Z,e09566bbffa7
RB-v1-013,UNKNOWN_LOCAL_PROXY,INSUFFICIENT_DATA,insufficient_evidence,T0_OBSERVATION_ONLY,False,20260902T104552Z,e09566bbffa7
RB-v1-014,POSSIBLE_MITM_RISK,INSUFFICIENT_DATA,insufficient_evidence,T0_OBSERVATION_ONLY,True,20260902T104552Z,e09566bbffa7
RB-v1-015,PROXY_SERVER_CHANGED_TO_REMOTE,INSUFFICIENT_DATA,insufficient_evidence,T0_OBSERVATION_ONLY,False,20260902T104552Z,e09566bbffa7
RB-v1-017,DEAD_PROXY_CONFIG,LOCAL_PROXY_ACTIVE,cross_signal_interaction,T1_LOCAL_CONFIG_EVIDENCE,True,20260902T104552Z,e09566bbffa7
RB-v1-019,DIRECT_OK,INSUFFICIENT_DATA,insufficient_evidence,T0_OBSERVATION_ONLY,True,20260902T104552Z,e09566bbffa7
RB-v1-021,UNKNOWN_LOCAL_PROXY,INSUFFICIENT_DATA,insufficient_evidence,T0_OBSERVATION_ONLY,True,20260902T104552Z,e09566bbffa7
RB-v1-022,DEAD_PROXY_CONFIG,INSUFFICIENT_DATA,insufficient_evidence,T0_OBSERVATION_ONLY,True,20260902T104552Z,e09566bbffa7
