baseline_key,expected_class,predicted_class,count,run_id,git_sha
B3,ERROR_INSUFFICIENT_DATA,BROWSER_QUIC_STALL,0,20260902T104552Z,e09566bbffa7
B3,ERROR_INSUFFICIENT_DATA,DEAD_PROXY_CONFIG,0,20260902T104552Z,e09566bbffa7
B3,ERROR_INSUFFICIENT_DATA,DIRECT_OK,0,20260902T104552Z,e09566bbffa7
B3,ERROR_INSUFFICIENT_DATA,ERROR_INSUFFICIENT_DATA,1,20260902T104552Z,e09566bbffa7
B3,ERROR_INSUFFICIENT_DATA,HAPPY_EYEBALLS_STALL,0,20260902T104552Z,e09566bbffa7
B3,ERROR_INSUFFICIENT_DATA,IPV6_BROKEN_IPV4_OK,0,20260902T104552Z,e09566bbffa7
B3,ERROR_INSUFFICIENT_DATA,POSSIBLE_MITM_RISK,0,20260902T104552Z,e09566bbffa7
B3,ERROR_INSUFFICIENT_DATA,PROXY_SERVER_CHANGED_TO_REMOTE,0,20260902T104552Z,e09566bbffa7
B3,ERROR_INSUFFICIENT_DATA,REVERTER_SUSPECTED,0,20260902T104552Z,e09566bbffa7
B3,ERROR_INSUFFICIENT_DATA,UNKNOWN_LOCAL_PROXY,0,20260902T104552Z,e09566bbffa7
B3,ERROR_INSUFFICIENT_DATA,WININET_WINHTTP_MISMATCH,0,20260902T104552Z,e09566bbffa7
B3,HAPPY_EYEBALLS_STALL,BOTH_DIRECT_AND_PROXY_WORK,0,20260902T104552Z,e09566bbffa7
B3,HAPPY_EYEBALLS_STALL,BROWSER_QUIC_STALL,0,20260902T104552Z,e09566bbffa7
B3,HAPPY_EYEBALLS_STALL,DEAD_PROXY_CONFIG,0,20260902T104552Z,e09566bbffa7
B3,HAPPY_EYEBALLS_STALL,DIRECT_OK,0,20260902T104552Z,e09566bbffa7
B3,HAPPY_EYEBALLS_STALL,ERROR_INSUFFICIENT_DATA,1,20260902T104552Z,e09566bbffa7
B3,HAPPY_EYEBALLS_STALL,HAPPY_EYEBALLS_STALL,0,20260902T104552Z,e09566bbffa7
B3,HAPPY_EYEBALLS_STALL,IPV6_BROKEN_IPV4_OK,0,20260902T104552Z,e09566bbffa7
B3,HAPPY_EYEBALLS_STALL,POSSIBLE_MITM_RISK,0,20260902T104552Z,e09566bbffa7
B3,HAPPY_EYEBALLS_STALL,PROXY_SERVER_CHANGED_TO_REMOTE,0,20260902T104552Z,e09566bbffa7
B3,HAPPY_EYEBALLS_STALL,REVERTER_SUSPECTED,0,20260902T104552Z,e09566bbffa7
B3,HAPPY_EYEBALLS_STALL,UNKNOWN_LOCAL_PROXY,0,20260902T104552Z,e09566bbffa7
B3,HAPPY_EYEBALLS_STALL,WININET_WINHTTP_MISMATCH,0,20260902T104552Z,e09566bbffa7
B3,IPV6_BROKEN_IPV4_OK,BOTH_DIRECT_AND_PROXY_WORK,0,20260902T104552Z,e09566bbffa7
B3,IPV6_BROKEN_IPV4_OK,BROWSER_QUIC_STALL,0,20260902T104552Z,e09566bbffa7
B3,IPV6_BROKEN_IPV4_OK,DEAD_PROXY_CONFIG,0,20260902T104552Z,e09566bbffa7
B3,IPV6_BROKEN_IPV4_OK,DIRECT_OK,0,20260902T104552Z,e09566bbffa7
B3,IPV6_BROKEN_IPV4_OK,ERROR_INSUFFICIENT_DATA,2,20260902T104552Z,e09566bbffa7
B3,IPV6_BROKEN_IPV4_OK,HAPPY_EYEBALLS_STALL,0,20260902T104552Z,e09566bbffa7
B3,IPV6_BROKEN_IPV4_OK,IPV6_BROKEN_IPV4_OK,0,20260902T104552Z,e09566bbffa7
B3,IPV6_BROKEN_IPV4_OK,POSSIBLE_MITM_RISK,0,20260902T104552Z,e09566bbffa7
B3,IPV6_BROKEN_IPV4_OK,PROXY_SERVER_CHANGED_TO_REMOTE,0,20260902T104552Z,e09566bbffa7
B3,IPV6_BROKEN_IPV4_OK,REVERTER_SUSPECTED,0,20260902T104552Z,e09566bbffa7
B3,IPV6_BROKEN_IPV4_OK,UNKNOWN_LOCAL_PROXY,0,20260902T104552Z,e09566bbffa7
B3,IPV6_BROKEN_IPV4_OK,WININET_WINHTTP_MISMATCH,0,20260902T104552Z,e09566bbffa7
B3,POSSIBLE_MITM_RISK,BOTH_DIRECT_AND_PROXY_WORK,0,20260902T104552Z,e09566bbffa7
B3,POSSIBLE_MITM_RISK,BROWSER_QUIC_STALL,0,20260902T104552Z,e09566bbffa7
B3,POSSIBLE_MITM_RISK,DEAD_PROXY_CONFIG,0,20260902T104552Z,e09566bbffa7
B3,POSSIBLE_MITM_RISK,DIRECT_OK,0,20260902T104552Z,e09566bbffa7
B3,POSSIBLE_MITM_RISK,ERROR_INSUFFICIENT_DATA,1,20260902T104552Z,e09566bbffa7
B3,POSSIBLE_MITM_RISK,HAPPY_EYEBALLS_STALL,0,20260902T104552Z,e09566bbffa7
B3,POSSIBLE_MITM_RISK,IPV6_BROKEN_IPV4_OK,0,20260902T104552Z,e09566bbffa7
B3,POSSIBLE_MITM_RISK,POSSIBLE_MITM_RISK,0,20260902T104552Z,e09566bbffa7
B3,POSSIBLE_MITM_RISK,PROXY_SERVER_CHANGED_TO_REMOTE,0,20260902T104552Z,e09566bbffa7
B3,POSSIBLE_MITM_RISK,REVERTER_SUSPECTED,0,20260902T104552Z,e09566bbffa7
B3,POSSIBLE_MITM_RISK,UNKNOWN_LOCAL_PROXY,0,20260902T104552Z,e09566bbffa7
B3,POSSIBLE_MITM_RISK,WININET_WINHTTP_MISMATCH,0,20260902T104552Z,e09566bbffa7
B3,PROXY_SERVER_CHANGED_TO_REMOTE,BOTH_DIRECT_AND_PROXY_WORK,0,20260902T104552Z,e09566bbffa7
B3,PROXY_SERVER_CHANGED_TO_REMOTE,BROWSER_QUIC_STALL,0,20260902T104552Z,e09566bbffa7
B3,PROXY_SERVER_CHANGED_TO_REMOTE,DEAD_PROXY_CONFIG,0,20260902T104552Z,e09566bbffa7
B3,PROXY_SERVER_CHANGED_TO_REMOTE,DIRECT_OK,0,20260902T104552Z,e09566bbffa7
B3,PROXY_SERVER_CHANGED_TO_REMOTE,ERROR_INSUFFICIENT_DATA,1,20260902T104552Z,e09566bbffa7
B3,PROXY_SERVER_CHANGED_TO_REMOTE,HAPPY_EYEBALLS_STALL,0,20260902T104552Z,e09566bbffa7
B3,PROXY_SERVER_CHANGED_TO_REMOTE,IPV6_BROKEN_IPV4_OK,0,20260902T104552Z,e09566bbffa7
B3,PROXY_SERVER_CHANGED_TO_REMOTE,POSSIBLE_MITM_RISK,0,20260902T104552Z,e09566bbffa7
B3,PROXY_SERVER_CHANGED_TO_REMOTE,PROXY_SERVER_CHANGED_TO_REMOTE,0,20260902T104552Z,e09566bbffa7
B3,PROXY_SERVER_CHANGED_TO_REMOTE,REVERTER_SUSPECTED,0,20260902T104552Z,e09566bbffa7
B3,PROXY_SERVER_CHANGED_TO_REMOTE,UNKNOWN_LOCAL_PROXY,0,20260902T104552Z,e09566bbffa7
B3,PROXY_SERVER_CHANGED_TO_REMOTE,WININET_WINHTTP_MISMATCH,0,20260902T104552Z,e09566bbffa7
B3,REVERTER_SUSPECTED,BOTH_DIRECT_AND_PROXY_WORK,0,20260902T104552Z,e09566bbffa7
B3,REVERTER_SUSPECTED,BROWSER_QUIC_STALL,0,20260902T104552Z,e09566bbffa7
B3,REVERTER_SUSPECTED,DEAD_PROXY_CONFIG,0,20260902T104552Z,e09566bbffa7
B3,REVERTER_SUSPECTED,DIRECT_OK,0,20260902T104552Z,e09566bbffa7
B3,REVERTER_SUSPECTED,ERROR_INSUFFICIENT_DATA,2,20260902T104552Z,e09566bbffa7
B3,REVERTER_SUSPECTED,HAPPY_EYEBALLS_STALL,0,20260902T104552Z,e09566bbffa7
B3,REVERTER_SUSPECTED,IPV6_BROKEN_IPV4_OK,0,20260902T104552Z,e09566bbffa7
B3,REVERTER_SUSPECTED,POSSIBLE_MITM_RISK,0,20260902T104552Z,e09566bbffa7
B3,REVERTER_SUSPECTED,PROXY_SERVER_CHANGED_TO_REMOTE,0,20260902T104552Z,e09566bbffa7
B3,REVERTER_SUSPECTED,REVERTER_SUSPECTED,0,20260902T104552Z,e09566bbffa7
B3,REVERTER_SUSPECTED,UNKNOWN_LOCAL_PROXY,0,20260902T104552Z,e09566bbffa7
B3,REVERTER_SUSPECTED,WININET_WINHTTP_MISMATCH,0,20260902T104552Z,e09566bbffa7
B3,UNKNOWN_LOCAL_PROXY,BOTH_DIRECT_AND_PROXY_WORK,0,20260902T104552Z,e09566bbffa7
B3,UNKNOWN_LOCAL_PROXY,BROWSER_QUIC_STALL,0,20260902T104552Z,e09566bbffa7
B3,UNKNOWN_LOCAL_PROXY,DEAD_PROXY_CONFIG,0,20260902T104552Z,e09566bbffa7
B3,UNKNOWN_LOCAL_PROXY,DIRECT_OK,0,20260902T104552Z,e09566bbffa7
B3,UNKNOWN_LOCAL_PROXY,ERROR_INSUFFICIENT_DATA,2,20260902T104552Z,e09566bbffa7
B3,UNKNOWN_LOCAL_PROXY,HAPPY_EYEBALLS_STALL,0,20260902T104552Z,e09566bbffa7
B3,UNKNOWN_LOCAL_PROXY,IPV6_BROKEN_IPV4_OK,0,20260902T104552Z,e09566bbffa7
B3,UNKNOWN_LOCAL_PROXY,POSSIBLE_MITM_RISK,0,20260902T104552Z,e09566bbffa7
B3,UNKNOWN_LOCAL_PROXY,PROXY_SERVER_CHANGED_TO_REMOTE,0,20260902T104552Z,e09566bbffa7
B3,UNKNOWN_LOCAL_PROXY,REVERTER_SUSPECTED,0,20260902T104552Z,e09566bbffa7
B3,UNKNOWN_LOCAL_PROXY,UNKNOWN_LOCAL_PROXY,0,20260902T104552Z,e09566bbffa7
B3,UNKNOWN_LOCAL_PROXY,WININET_WINHTTP_MISMATCH,0,20260902T104552Z,e09566bbffa7
B3,WININET_WINHTTP_MISMATCH,BOTH_DIRECT_AND_PROXY_WORK,0,20260902T104552Z,e09566bbffa7
B3,WININET_WINHTTP_MISMATCH,BROWSER_QUIC_STALL,0,20260902T104552Z,e09566bbffa7
B3,WININET_WINHTTP_MISMATCH,DEAD_PROXY_CONFIG,0,20260902T104552Z,e09566bbffa7
B3,WININET_WINHTTP_MISMATCH,DIRECT_OK,0,20260902T104552Z,e09566bbffa7
B3,WININET_WINHTTP_MISMATCH,ERROR_INSUFFICIENT_DATA,2,20260902T104552Z,e09566bbffa7
B3,WININET_WINHTTP_MISMATCH,HAPPY_EYEBALLS_STALL,0,20260902T104552Z,e09566bbffa7
B3,WININET_WINHTTP_MISMATCH,IPV6_BROKEN_IPV4_OK,0,20260902T104552Z,e09566bbffa7
B3,WININET_WINHTTP_MISMATCH,POSSIBLE_MITM_RISK,0,20260902T104552Z,e09566bbffa7
B3,WININET_WINHTTP_MISMATCH,PROXY_SERVER_CHANGED_TO_REMOTE,0,20260902T104552Z,e09566bbffa7
B3,WININET_WINHTTP_MISMATCH,REVERTER_SUSPECTED,0,20260902T104552Z,e09566bbffa7
B3,WININET_WINHTTP_MISMATCH,UNKNOWN_LOCAL_PROXY,0,20260902T104552Z,e09566bbffa7
B3,WININET_WINHTTP_MISMATCH,WININET_WINHTTP_MISMATCH,0,20260902T104552Z,e09566bbffa7
